Glyphs	Convention	Transcribed	Meanings	Connection	√√	Akkadian
𒉆𒄘	nam-gu₂	ˢʸnamgu	oppression 	zilm zordarî ظُلْم ẓulm  შევიწროება ševic̣roeba ჩაგვრა čagvra <>		
𒉆𒄘𒂵;𒉆𒄘𒅗;𒉆𒄘𒅗·x	nam-gu₂ga;nam-gu₂ka;nam-gu₂|KA×X|	ˢʸnamgukak	submission 			
𒉆𒅥	nam-gu₇	ˢʸnamgu	eating 	𓋴 𓅨 𓂋 drinking		
𒉆𒄴𒈨	nam-gudug	ˢʸnamgudug	office of gudug-priest 			
𒉆𒄖𒍝𒇲	nam-gu-za-la₂	ˢʸnamguzala	office of throne-bearer 			
𒉆𒄭𒊓	nam-dub₃-sa	ˢʸnamdubsa	companionship, friendship 			
𒉆𒆪𒇷	nam-gu₅-li	ˢʸnamguli	friendship 	𒉆𒄭𒊓 companionship 𓐍 𓈖 𓌰 𓅓 𓋴 𓀙 𓀀		
𒉆𒆸	nam-gur₄	ˢʸnamgur	thickness	𒆸 gur₄ girth		#narbû 
𒉆𒅗𒊏	nam-gu₃-rah₂	ˢʸnamgurah	shouting 	crying		
𒊩𒍑𒁮	nam-ĝitlamₓ(SAL.UŠ.DAM)	ˢʸnamĝitlam	marriage status, status as husband 			
𒉆𒆗	nam-ĝuruš	ˢʸnamĝuruš	manliness 			
𒉆𒄭𒇷	nam-hi-li	ˢʸnamhili	charm 	sim ≈ charm ?		
𒉆𒄸𒁯	nam-hub₂dar	ˢʸnamhubdar	running 	"""Hufe treten"""		
𒉆𒐊	nam-ia	ˢʸnamia	group of 5	𒉆 SIM  समूह samūh ∑ group 𒉆𒐊 group of 5  խումբ xumb  جَمَاعَة jamāʕa ομάδα ˢomáda қауым qauym ក្រុម krom Ver𓅨Sammlung		
𒉆𒄑𒈫	nam-ĝeš₂	ˢʸnamĝeš	group of 60			
𒉆𒅆𒅅	nam-igi-ĝal₂	ˢʸnamigiĝal	insight 			
𒉆𒋼𒀀𒆤	nam-kar-kid	ˢʸnamkarkid	prostitution 	@ Kerker		
𒉆𒅗𒋗𒆕𒀀	nam-kiri₃-šu-du₃-a	ˢʸnamkirišudua	homage 			
𒉆𒆦𒈛	nam-kisal-luh	ˢʸnamkisalluh	position as courtyard sweeper 			
𒉆𒆠𒂖	nam-ki-sikil	ˢʸnamkisikil	status as a young woman 			
𒉆𒇽	nam-lu₂	ˢʸnamlu	status as a person 			
𒉆𒆬𒄀	nam-kug-sig₁₇	ˢʸnamkugsig	status of gold 	?		
𒉆𒇽𒅗𒈠	nam-lu₂inim-ma	ˢʸnamlu'inimak	status of witness 			
𒉆𒇽𒌉	nam-lu₂tur	ˢʸnamlutur	the status of child 			
𒉆𒊩𒈨	nam-lukur	ˢʸnamlukur	office of lukur-priestess 			
𒉆𒇽𒈤	nam-lu₂mah	ˢʸnamlumah	office of lumah 			
𒉆𒉡𒇇𒍼	nam-nu-u₈-gig	ˢʸnamnugig	office of the nugig			#? 
𒉆𒊕𒂅	nam-saĝ-DUN₃	ˢʸnamsaĝDUN	office of land recorder 			
𒉆𒉺𒁽	nam-maškim	ˢʸnammaškim	office of maškim 			
𒉆𒆬𒅅;𒉆𒋻𒅅	nam-ku₃-ĝal₂;nam-ku₅-ĝal₂	ˢʸnamkuĝal	irrigation control 			
𒉆𒋻𒋻𒁺	nam-kud-kud-ra₂	ˢʸnamkudkudra	lameness 			
𒉆𒇽𒋋	nam-lu₂bappir	ˢʸnamlubappir	position as brewer 			
𒉆𒈗	nam-lugal	ˢʸnamlugal	kingship 			
𒉆𒊩𒈨	nam-lukur	ˢʸnamlukur	concubinage 			
𒉆𒇽𒁷𒈾	nam-lu₂kurun-na	ˢʸnamlukurunak	craft of the brewer 			
𒉆𒈜	nam-lul	ˢʸnamlul	treachery 	lying		
𒉆𒇽𒍇	nam-lu₂lu₇	ˢʸnamlulu	humanity			#awilūtu 
𒉆𒈤	nam-mah	ˢʸnammah	greatness			#narbû 
𒉆𒂷𒆷	nam-ma₃-la	ˢʸnammala	friendliness 			
𒉆𒈦𒈦	nam-maš-maš	ˢʸnammašmaš	sorcery 	magic		
𒉆𒃞	nam-men (GA₂×ME+EN)	ˢʸnammen	lordship 			
𒉆𒎏;𒈾𒉘𒂵𒊭𒀭;𒉆𒂵𒊭𒀭	nam-nin;na-aĝ₂ga-ša-an;nam-ga-ša-an	ˢʸnamnin	ladyship 			
𒉆𒊩	nam-munus	ˢʸnammunus	femininity 			
𒉆𒉄	nam-nagar	ˢʸnamnagar	carpentry 			
𒉆𒈜	nam-nar	ˢʸnamnar	musicianship 			
𒉆𒉈𒊒	nam-NE.RU	ˢʸnamNERU	oath	wahr < burn?		#māmītu 
𒉆𒉈𒊒𒋻	nam-NE.RU kud	ˢʸnamNERU kud	to swear	swear ≈ schwel? --		#tamû 
𒉆𒃻𒉈𒊒	nam-niĝ₂NE.RU	ˢʸnamniĝNERU	wickedness 	≠		
𒉆𒃻𒋛𒁲	nam-niĝ₂si-sa₂	ˢʸnamniĝsisa	righteousness 			
𒉆𒐐	nam-ninnu	ˢʸnamninnu	group of 50			
𒉆𒉣	nam-nun	ˢʸnamnun	magnificence 			
𒉆𒉪	nam-nir	ˢʸnamnir	supremacy 			
𒉆𒉪𒅅	nam-nir-ĝal₂	ˢʸnamnirĝal	authority 			
𒉆𒉪𒉺	nam-NIR.PA	ˢʸnamNIRPA	marriage 			
𒉆𒍑	nam-nita	ˢʸnamnita	manhood 			
𒉆𒉡𒌉	nam-nu-banda₃	ˢʸnamnubanda	supervisorship, position as supervisor 			
𒉆𒁺	nam-ra₂	ˢʸnamra	behaviour 	συμπεριφορά symperiforá		
𒉆𒊏;𒉆𒊏𒀸	nam-ra;nam-ra-aš	ˢʸnamra	booty 	syn+nahme syn'roubo 𒊏𒀸 rob Raub Bäute		
𒉆𒊏𒀝;𒉆𒊏𒀸𒀝;𒉈𒊏𒀝;𒉈𒊏𒀸𒀝	nam-ra-ak;nam-ra-aš-ak;ne-ra-ak;ne-ra-aš-ak	ˢʸnamra'ak	booty 	synamrak syn'reek sy'ra szajré σκῦλα skûla שָׁלָל shalál	<<	
𒉆𒊷	nam-sag₉	ˢʸnamsag	pleasure 	жаргал žargal հաճույք (synas)hačuykʿ  şehvet		
𒉆𒊕	nam-saĝ	ˢʸnamsaĝ	privilege 			
𒉆𒂖	nam-sikil	ˢʸnamsikil	purity 	s'clean		
𒉆𒍂	nam-silig	ˢʸnamsilig	force 			
𒉆𒌣	nam-simug	ˢʸnamsimug	the craft of the smith 			
𒉆𒁶	nam-šidim	ˢʸnamšidim	the craft of the builder 			
𒉆𒉺𒇻	nam-sipad	ˢʸnamsipad	shepherdship 			
𒉆𒋛𒁲	nam-si-sa₂	ˢʸnamsisa	righteousness 	synnitön  𒁲𒋛𒉆 δικαιοσύνη dikaiosúnē reverse		
𒉆𒈛	nam-sukkal	ˢʸnamsukkal	office of sukkal 			
𒉆𒈛𒈤	nam-sukkal-mah	ˢʸnamsukkalmah	office of sukkalmah 			
𒉆𒄢	nam-sumun	ˢʸnamsumun	old age 	…senior…		
𒉆𒆗𒈾	nam-sun₇-na	ˢʸnamsuna	arrogance 	"𒁔 sun₅ •zun @ zenith ""haughty"" ⚠️"		
𒉆𒁔𒈾	nam-sun₅-na	ˢʸnamsuna	humility 	suna (syn) tsanúa צנוע		
𒉆𒉺𒀠	nam-šabra	ˢʸnamšabra	office of household administration 			
𒉇𒄑𒋖	nam₂ ĝeš šita	ˢʸnamšita	ruler 			
𒉆𒄊𒀴	nam-šakan₆	ˢʸnamšakkanak	governorship 	хаким xakim һаким ˢhakim حَاكِم ˢḥākim < shogun sharuking sargon ?		
𒉆𒊮𒌓	nam-ša₃-tam	ˢʸnamšatam	administration 	𒊮𒌓 √court(ship)  dynam => διαχείριση diacheírisi		
𒉆𒊺𒅕𒅗𒀭	nam-še-er-ka-an	ˢʸnamšerkan	embellishment 	𓋴 𓄤 𓆑 𓂋 𓏛 զարդարել zardarel 𓋴 𓍊 𓐍 زَخْرَفَ zaḵrafa укра́сить ukrásitʹ	<<<	
𒉆𒋀	nam-šeš	ˢʸnamšeš	brotherhood 	𒉆 SIM ძმობა ʒmoba -		
𒉆𒋖;𒉆𒄑	nam-šita;nam-šita₂	ˢʸnamšita	prayer; entreaty	@ synagoge		#kāribu 
𒉆𒋖;𒉆𒄑	nam-šita;nam-šita₂	ˢʸnamšita	prayer	 নামাজ namaj ጸሎት ṣälot نماز namâz צְלוֹתָא ṣəlôṯā salvation 		
𒉆𒌋𒆤	nam-šita₄	ˢʸnamšita	weaponry 			
𒉆𒊒	SIM.RU nam-šub	namšub (sic!)	incantation	𒉆𒊒 SIM.RU 𓇖 śamar 𒍝𒈠𒊒 za-ma-ru zamár זַמָּר 		#šiptu 
𒉆𒋗𒄩	nam-šu-ku₆	ˢʸnamšukud	fishing 	x صَيْد سَمَك ṣayd samak		
𒉆𒂄	nam-šul	ˢʸnamšul	manhood 	𒋚  ŠUBUR ≈ čoveč човечност čovečnost		
𒉆𒋰	nam-tab	ˢʸnamtab	partnership 			
𒉆𒇽𒋰𒁀	nam- lu₂ tab-ba	ˢʸnamtaba	companionship 			
𒉆𒋳;𒉆𒋳𒂵;𒉆𒁖;𒉆𒁖𒂵	nam-tag;nam-tag-ga;nam-tag₂;nam-tag₂ga	ˢʸnamtaga	sin 	"𒉆 SÍN ""sin"" 𒉆𒋳𒂵 SÍN-tag-ga Sündigen  خَطِيئَة ḵaṭīʔa reverse"	+++	
𒉆𒋳𒋳	nam-tag-tag	ˢʸnamtagtag	damnation 	"<> sin <> DYNAM δύνᵃᵐ in 𒉆𒀉𒅅 δύναμη dýnami ""force"""		
𒉆𒋻	nam-tar	ˢʸnamtar	"sickness; fate, destiny; a	demon"	𒋻 ÇAR krank		#murşu;namtaru;šīmtu 
𒉆𒋼	nam-te	ˢʸnamte	fear 	sy•teʳᵒ  страх strah страх strax <> terror 𒉆𒋼 sy•tergh reconstructed BEFORE ☑	++!	
𒉆𒅪	nam-tibira	ˢʸnamtibira	sculpture	sy•tipura skulʹptúra  शिल्पकला śilpaklā скульпту́ра 		#? 
𒉆𒋾;𒉆𒋾𒀧	nam-til₃;nam-ti-il	ˢʸnamtil	life 	dynamital zoonᶜtal 𓋴 𓋹 𓈖 𓐍  		
𒉆𒌋	nam-u	(sic)	group of 10	≈ number 10		
𒉆𒊌	nam-UG	ˢʸnamUG	? 			
𒉆𒋀𒃲	nam-šeš-gal	ˢʸnamšešgal	status of elder brother; a scribal status 			
𒉆𒉺	nam-ugula	ˢʸnamugula	status of overseer 			
𒉆𒉺𒂍	nam-ugula-e₂	ˢʸnamugula'ek	status of estate-overseer 			
𒉆𒌝𒈠	nam-um-ma	ˢʸnamumma	status as old woman 			
𒉆𒍬	nam-ušbar	ˢʸnamušbar	status of father-in-law 			
𒉆𒇳𒁺	namˡukur₃	ˢʸnamukur	poverty 	lacking  ગરીબાઈ garībāī ˢʸukur  სიღარიბე siɣaribe	<	
𒉆𒌨𒊕	nam-ur-saĝ	ˢʸnamursaĝ	heroism 	(syn)heros		
𒉆𒍇𒊒	nam-uru₁₇ ru	ˢʸnamurun	exaltedness 	(syn)heron ^^		
𒉆𒍠𒁳	nam-zag-dib	ˢʸnamzagdib	excellence 	മേന്മ mēnma.sign śpālmäññe izcilība  		
𒉆𒇳𒊬	nam-usar	ˢʸnamusar	neighborliness 	nambusar ≈ na'bar neighbor?		
𒉆𒍗	nam-uš₂	ˢʸnamuš	death; epidemic	na.mors		#mūtānu;mūtu 
𒉆𒌑𒅲	nam-u₂zug₄	ˢʸnamuzug	pollutedness 	𒉆𒌑𒅲 SIM-u₂-zug₄ schmutzig(keit)		
𒉆𒉣𒉣	nam-zil-zil	ˢʸnamzilzil	pleasantness 	𐌰𐌽𐌳𐌰𐌽𐌴𐌼𐍃 andanēms		
𒉆𒍪	nam-zu	ˢʸnamzu	wisdom 	ဉာဏ် nyan 智慧 zhìhuì <> nous gnostic		
𒉆𒅗𒆟	nam-zu₂keš₂	ˢʸnamzukešed	rental 			
𒍏𒉆𒍝𒄣	urud nam-za-qum	namzaqum	key	𒉆𒍝 SᵛL•za Schlüssel 𒍏𒉆𒍝𒄣 synzacken कुंजिका kuñjikā kulcs keys ключ ključ <> close syn.doğa догӏа <> dongle ≈ dent		#namzaqu 
𒈾𒉆	na-nam	nanam	consent, assent; to consent	"𒈾 na ≈ ναί naí אין ’ēn ""yes"" in 𒈾𒉆	na-nam	نَعَم naʕam  consent
"		#annu 
𒈾𒀊𒁕𒈝;𒈾𒀊𒁕𒉡𒌝;𒈾𒀊𒋫𒉏;𒈾𒀊𒋫𒉡𒌝;𒈾𒀊𒋫𒈝;𒈾𒀊𒁕𒉏	na-ap-ta₂num₂;na-ap-ta₂nu-um;na-ap-ta-num;na-ap-ta-nu-um;na-ap-ta-num₂;na-ap-ta₂num	naptanum	meal, banquet 	Nahrung @ Napf		
𒈜	nar	nar	musician; singer	"𒈜𒃲	nargal niyógo ນັກດົນຕີ nak … nhạc sĩ مغني moḡanni musician"		#nāru 
𒈜𒃲	nar-gal	nargal	musician 	"𒈜𒃲	nargal niyógo ນັກດົນຕີ nak … nhạc sĩ مغني moḡanni musician"		
𒈾𒊑	na-ri	nari	canal? 	naur		
𒈾𒆕𒀀;𒈾𒊒	na-ru₂a;na-ru	narua	stele	<> 𒎎 NA ναός naós		#narû 
𒎎𒋗𒄢𒄢	na₄-šu-gul-gul	našugulgul	lower millstone 	𒄢𒄢 SI.GUL же́рка žérka 𒄢 SI 石磨 shímò   წისქვილის ქვა (c̣iskvilis kva) 𐌰𐍃𐌹𐌻𐌿𐌵𐌰𐌹𐍂𐌽𐌿𐍃 f (asiluqairnus)		
𒊊	ne₃	ne	strength; force	=>		#emūqu 
𒊊𒅅;𒉈𒅅	ne₃-ĝal₂;ne-ĝal₂	neĝal	mighty 	megaˡ  𒊊 ≈ [[𓃮]] power, virility in Egyptian and Sumerian  		
𒉈	ne	ne	(compound verb nominal element) 			
𒉈	NE	NE	designation of silver 	"noble ""strong"""		
𒉈	ne	ne	brazier			#kinūnu 
𒉈𒁺𒁺	NE-DU-DU	NEDUDU	crucible	BUrDU بُوتَقة būtaqa  NEfDU® χωνευτήρι choneftíri		#muttalliku 
𒉈𒋢𒌒;𒊺𒋢𒌒	ne su-ub;še su-ub	ne sub	to kiss	naseln		#našāqu 
𒉈𒅥	NE-gu₇	NEgu	wastage	√𓂜?		#? 
𒉈𒄩	ne-ha	neha	calm, peace	PIL-KU ≈ bí.ku ≈ peace		#nēhtu 
𒊊𒌉; 𒄑𒊊𒌉	nemurₓ(PIRIG.TUR);ĝeš nemurₓ(PIRIG.TUR)	nemur	leopard	"𒉏𒊒 	nim-ru נִמְרָא nimrā  𓌳 𓅱 𓃬 •nwmrw nimrod • 𒉆 nam.rwd @ Rudel"		#nimru 
𒉈;𒉈𒂗;𒉈𒂊	ne;ne-en;ne-e	nen	this 	那 nà 𓇑 nèi 𒉌 ni		
𒉈𒉆	ne-nam	nenam	so; thus	namely		#kīam 
𒉈𒊒𒁺	NE.RU-du	NERUdu	hostile 	feind ≈ fire		
𒉈𒊒	NE.RU	NERU	enemy; wicked, villainous	! <> 𒉎𒊑	<<	#ayyābu;raggu 
𒉈𒊒𒅅	NE.RU-ĝal₂	NERUĝal	wicked 	<^	G	
𒋃;𒉈𒊕;𒋃;𒃻𒊕	nesaĝ₂;ne-saĝ;nesaĝ;niĝ₂saĝ	nesaĝ	first-fruit offering; a storage place	𒋃 ŠID < 𒋃 kid₄ 		#nisakku;nisannu 
𒉎;𒂊;𒋙𒉈	ni₂;e;ne₄	ni	fear, aura	Bange anger angst?	<	#puluhtu 
𒉎	ni₂	ni	self	Proto-Semitic *napš نَفْس nafs 𓈖 𓌰 𓅓 𓂉 𓀁		#ramānu 
𒉎𒁆	ni₂buluĝ₅	ni buluĝ	to boast	blök		#? 
𒉎𒁆	ni₂dub₂	ni dub	to relax	√𓂜 ?		#napāšu;pašāhu 
𒉎𒅅	ni₂ĝal₂	niĝal	awe-inspiring 	<> angst ^^		
𒉎𒃲	ni₂gal	nigal	awe-inspiring radiance			#namrīru;namurratu 
𒉎𒅍	ni₂gur₃	ni gur	clad in awesome luminosity			#? 
𒉎𒃲𒅍	ni₂gal gur₃	ni gal gur	clad in awesome luminosity			#namrirrī našû 
𒉎𒍽𒅍	ni₂huš gur₃	ni huš gur	clad in awesome luminosity			#rašubbatu našû 
𒉎𒁍	ni₂gid₂	ni gid	to stretch oneself?			#? 
𒉎𒆸	ni₂gur₄	ni gur	to feel proud	{ment} ғорур ğorur  गर्व garv גֵאֶה ge'e горд gord qürurlu гръдъ grŭdŭ  көкірекшіл kökırekşıl		#? 
𒉎𒅍	ni₂il₂	ni il	to rise high	nobel?		#šaqû 
𒉎𒃸𒃸	ni₂kar₂kar₂	ni karkar	to circle around	encircle		#? 
𒉎𒊑	ni₂RI	ni RI	to inspire fear	<> 𒉈𒊒		#puluhta ramû 
𒉎𒋧	ni₂sig₁₀	ni sig	to plot	𓄣 𓊃 𓐍 𓂋 𓅱 𓏛 σχῆμα secret scheme secure plan		#şummuru 
𒉎𒋼	ni₂teĝ₃	ni teĝ	to fear, to become afraid	𓄣 tight		#palāhu;šahātu 
𒉎𒋼𒂗	ni₂te-en	ni ten	to cool off	𓄣 down		#? 
𒉎𒌴	ni₂ur₄	ni ur	scared	𓄣 fear		#arāru 
𒊩𒌨	nig	nig	female dog; lioness	母狗 mǔgǒu chienne reverse ძუკნა ʒuḳna قانجیق kancık		#kalbatu;nēštu 
𒊺;𒃻𒅥𒀀	niga;niĝ₂gu₇-a  ŠE[dge] šá-gu₇a	niga •šágua	fattened	𓅭 sedgua ≈ σιτεύω siteúō 𓋴 𓆓 𓂧 𓄿 χοντρός chontrós سَمَّنَ sammana أَسْمَنَ ʔasmana 𓏲 𓆷 𓄿 𓂷 𓂡 		#marû 
𒅙𒆬	nigru	nigru	snake charmer	negro?		#mušlahhu 
𒌋𒌓𒆤;𒌋𒌓𒆤𒃻	niĝar;niĝar ĝar	niĝar	cella, shrine	negro : dark		#kummu 
𒌆𒃻𒅁	tug₂ nig₂dara₂	niĝdara	rag, sanitary towel	𒃻 šá/nig̃₂ in sanity towel 𒌆𒃻𒅁 tug₂ šá/nig₂dara₂		#ulāpu Lappen
𒃻𒌤𒀀	niĝ₂de₂a	šádea niĝdea (sic)	marriage gift	<> 𒌤𒀀 dim₆mu 𒁶 dim₂ √don ?		#biblu bride bible;)
𒍏𒃻𒌤𒀀	urud niĝ₂de₂a	niĝdea	mould, mold, cast	… 𒌤 #šapāku shape 𓆣  𒌤𒀀 dim₆mu  模具 mújù ≠ 𒀀 bu @ καλούπι kaloúpi		#pitqu pit@petra
𒍏𒃻𒁶𒁶	urud niĝ₂dim₂dim₂	niĝdimdim	manufactured object; physical form, shape	<> 𒌤𒀀 dim₆mu		#ni(g)dimdimmû 
𒍏𒃻𒁶𒄢	urud niĝ₂dim₂gul	niĝdimgul	bolt 	•ma.dimgal > مِصْمَال miṣmāl		
𒃻;𒉘	niĝ₂;aĝ₂	šá niĝ	thing, possesion; something	𒃻 šá some		#bušu;mimma 
𒃻𒀉𒃻	niĝ₂a₂ĝar	šáaĝar niĝaĝar (sic)	deception 	√𓂜 ?		
𒃻𒀝;𒃻𒀝𒀝	niĝ₂ak;niĝ₂ak-ak	niĝak ᵐiĝak šáak  (sic)	magic	ᵐiĝak		#kišpu 
𒃻𒀠𒁲	niĝ₂al-di	šáaldi niĝaldi (sic)	request	aldi ≈ αἰτέω aitéō ? <> 𒆪 dab₅ :		#erištu 
𒃻𒆪	niĝ₂dab₅	šádab niĝdab (sic)	requisitioned items 	^		
𒃻𒄯𒊏	niĝ₂ar₃-ra	šáara niĝara (sic)	groats	𒃻 GAR groats		#mundu 
𒃻𒀉𒋺𒀀	niĝ₂a₂tak₄-a	šáataka niĝataka (sic)	ointment	𒉌 né/ni ಎಣ್ಣೆ eṇṇe		#tēqītu 
𒃻𒀉𒍣	niĝ₂a₂zig₃	šáazig niĝazig (sic)	malevolent; violent action	√𓂜 / dark ?		#şenu 
𒃻𒁀	niĝ₂ba	šába niĝba (sic)	gift	spare?		#qīštu 
𒃻𒁄𒁄	niĝ₂bal-bal	šábalbal niĝbalbal (sic)	crossing 	անցում ancʿum  перепра́ва perepráva		
𒃻𒁖	niĝ₂barag₂	šábarag niĝbarag (sic)	quilt 	𒃻 niĝ₂ @ [[night]] 		
𒃻𒁉𒋭	niĝ₂bi-lal₃	šábilal niĝbilal (sic)	scabies 	≈!		
𒃻𒅮𒈾;𒊺𒂗𒅮𒈾	niĝ₂bun₂na;še-en-bun₂na	šábuna šenbuna niĝbuna  (sic)	turtle	𒂗 EN ≈ EL in 𒊺𒂗𒅮𒈾 še-en-bun₂ ≈ 𒃻𒅮𒈾 šáˡbuna #šeleppûⁿ 		#šeleppû سُلَحْفَاة sulaḥfāh  ܣܠܘܦܝܬܐ sallōp̄īṯā shellfish
𒃻𒂼𒆷;𒃻𒂼;𒃻𒁮𒃲	niĝ₂daĝal-la;niĝ₂daĝal;niĝ₂dam-gal	šádaĝala niĝdaĝala (sic)	vastness 	необятност neobjatnost ?		
𒃻𒁲	niĝ₂DI	šáDI niĝDI (sic)	behavior? 			
𒃻𒁶	niĝ₂dim₂	šádim niĝdim (sic)	object 	thing?		
𒃻𒁶𒁶𒈠	niĝ₂dim₂dim₂ma	šádimdima niĝdimdima (sic)	magical procedures	simsaladim ;)		#upšašû 
𒃻𒁶𒄢	niĝ₂dim₂gul	šádimgul niĝdimgul (sic)	recklessness	nesăbuință		#rešû 
𒃻𒋛𒀀	niĝ₂dirig	šádirig niĝdirig (sic)	extra, additional things; a type of offering	Sache ni.si.a נוֹסָף nosaf si.a si.bu  cir.bu cor.ma		#? 
𒃻𒌌	niĝ₂du₇	šádu niĝdu (sic)	that which is appropriate 	Sache do… ce'do ≠ nich'do <>	-	
𒃻𒍼	niĝ₂gig	šágig niĝgig (sic)	that which is bad, forbidden; evil	Sache Negro nich¬…		#ikkibu;lemnūtu 
𒃻𒅥𒀀	niĝ₂gu₇-a	šágua niĝgua (sic)	something which is edible 	Sache kau'able		
𒃻𒆕	niĝ₂du₃	šádu niĝdu (sic)	string (of fruit) 	𒃻 šádu ≈ string ?		
𒃻𒁺	niĝ₂DU	šáDU niĝDU (sic)	delivery 	𒃻 šádu ≈ send		
𒃻𒄭	niĝ₂dug₃	šádug niĝdug (sic)	that which is good, well-being; sweet 	𒃻 šádug sweet(ig)		
𒃻𒅗𒂵	niĝ₂dug₄-ga	šáduga niĝduga (sic)	speech 	𒃻 šáᵖdug₄ speech talk		
𒃻𒅗𒅗	niĝ₂dug₄-dug₄	šádugdug niĝdugdug (sic)	speech 	𒃻 šáᵖdug₄ speech talk		
𒃻𒂄	niĝ₂dun	šádun niĝdun (sic)	prostration 	𒃻 šá 𒂄 shoat sujud		
𒃻𒂊¿	niĝ₂ e LAK₁₇3	šáesir niĝesir (sic)	sandal 	"šá… sandal 𒂊 •port > podi in 𒃻𒂊𓋸 sandal 𓍿 𓃀 𓏏 𓋸 𓋸
"		
𒃻𒂉𒌋	niĝ₂dur₂buru₃	šádurburu niĝdurburu (sic)	fermenting vat 	𒃻 šá Schale?		
𒄀𒃻𒇒 ≈𒊏	gi niĝ₂esir₂ra	šá'esir niĝ'esir (sic)	wash-basin	^		#namsû 
𒃻𒂵;𒈬𒌦𒂵;𒈬𒌦𒃼	niĝ₂GA;mu-un-gur₁₁;mu-un-gar₃	šáGA niĝGA (sic)	property	Sache		#makkuru 
𒃻𒃴	niĝ₂galam	šágalam šágalam niĝgalam šágalam (sic)	skill	šágalam ≈ skill <> 𒄑𒃴 scale		#nikiltu 
𒃻𒃲𒃲	niĝ₂gal-gal	šágalgal niĝgalgal (sic)	greatness	"𓋴𓂋𓏮𓃱 ""great"" 𒁍SÍR"		#narbû 
𒃻𒍼𒅖𒊏	niĝ₂gig-sahar-ra	šágigsahara niĝgigsahara (sic)	leprosy 	negro?		
𒃻𒄃;𒃻𒉾	niĝ₂gilim;niĝ₂gilim₂	šágilim niĝgilim (sic)	vermin; a rodent	Nager		#iškarissu 
𒃻𒄃𒄃𒈠	niĝ₂gilim-gilim-ma	šágilimgilima niĝgilimgilima (sic)	rodent 	Nager		
𒃻𒅥	niĝ₂gu₇	šágu niĝgu (sic)	food 	nager nuckel > ⁿokul ˢokul ?		
𒃻𒄘𒈾	niĝ₂gu₂na	šáguna niĝguna (sic)	utensils	šáguna Sachen		#unūtu 
𒃻𒅅𒆷	niĝ₂gal₂la	šáĝala niĝĝala (sic)	possessions	"𒐼𒂵 ŠA-GAⁿ Sachen ""goods"""		#maršītu 
𒃻𒄘𒈾	niĝ₂gu₂na	šáguna niĝguna (sic)	tribute, rent, tax	"šáguna Sachen ""goods"""		#biltu 
𒃻𒊩𒆷	niĝ₂gal₄-la	šágalla niĝgalla (sic)	jewellery (for or in the form of female genitals) 	wat?		
𒃻𒄀𒈾;𒃻𒄀𒈾	niĝ₂gi-na;niĝ₂gen₆-na	šágina niĝgina (sic)	truth	Sachen ≈ facts ( Sachlage )		#kīttu 
𒃻𒄖𒆷	niĝ₂gu-la	šágula niĝgula (sic)	greatness; majesty	"𓋴𓂋𓏮𓃱 ""great""  𒁍𒃲"		#rabâtu 
𒃻𒄦;𒃻𒋼𒀀	niĝ₂gur₇;niĝ₂kar	šágur niĝgur (sic)	bandage	<> 𓆓 𓆗 <> վիրակապ virakap		#naštiptu 
𒃻𒅗𒅆𒆠	niĝ₂inim-si₃-ke	šáinimsige niĝinimsige (sic)	wish? 	x امنية umnīya … seek?   مُنْيَة munya		
𒃻𒃻	niĝ₂ĝar	šáĝar niĝĝar (sic)	addition; piling up	sys ∑ ҡушыу quşıw кошуу koşuu הוֹסָפָה hosafa l'sys lisäys		#kumurrû 
𒃻𒄑𒁇	niĝ₂ĝešnimbar	šáĝešbar niĝĝešnimbar (sic)	weaving material 	пряжа pryazha příze iplik reverse'ish		
𒃻𒄑𒌆;𒄑𒌆	niĝ₂ĝeštug;ĝeštug	šáĝeštug niĝĝeštug (sic)	earrings 	"𒋗𒄥	šu-gur	šugur ""ring"""		
𒃻𒄈	niĝ₂ĝir₂	šáĝir niĝĝir (sic)	lightning bolt 	Κεραυνός keraunós (reverse) 𒄈 •gírniĝ		
𒃻𒄊	niĝ₂ĝiri₃	šáĝiri niĝĝiri (sic)	go-between's fee, commission	𒄊 pirig ≈ pay-fare  šáĝiri ≈ 仲介料 Chūkairyō 수수료 Susuryo	-	
𒃻𒅆𒁾𒋾	niĝ₂ĝiskim-til₃	šáigi dubtil / niĝĝiskimtil (sic)	trust 	šáigi dubtil Zeuge дове́рие > dovérie اعتبار e'tebâr ნდობა ndoba < niĝĝis-dubti  [ver]tubti > vertrouwen?	<<++	
𒃻𒇥𒁀	niĝ₂hab₂ba	šáhaba niĝhaba (sic)	malodorous (maloderous), fetid; redolent 	šáhaba <> szagos <> stink habe!  δύσοσμος δυσώδης dysódis	<	
𒃻𒄩𒇴𒈠	niĝ₂ha-lam-ma	šáhalama niĝhalama (sic)	destruction	#šahluqtu Sache הַשְׁמָדָה hashmadá Hadlama هَدْم hadm הריסה harisá הרס héres		#šahluqtu 
𒃻𒇽·𒃸𒂠	niĝ₂heš₅ (LU₂×KAR₂ )-še₃	šáheše niĝheše (sic)	oppression 	эзүү ʰezüü гніт hnit  𒃻 niĝ₂ unter-?		
𒃻𒄭𒇷	niĝ₂hi-li	šáhili niĝhili (sic)	voluptuous 	šániĝhili sinnlich	-	
