№	English					
167	fire	𓉔 𓉔 𓏮 𓊮		blast 	hoch! huch! / heatzė / hhotty	
167	fire	𓋴𓄝 𓏏𓊮		set 	set	
167	fire	𓋴𓆓 𓏏𓊮		fire, flame	Gischt / shat ⇔ khat	
167	fire	𓍑 𓄿 𓏴 𓆱		fire - drill	ƒiren	
167	fire	𓍑 𓏤		fire - drill		
167	fire	𓏠𓈖 𓄤𓆑𓂋		Amun pyro ➙ fire.ammid = pyramid		
167	fire	𓏴 𓏏𓊮		fire, flame	⇔ khat!?	
167	fire	𓐍 𓏏𓊮		fire	khat heat! ++ QED EN/AR / hhattab : firewood ++ AR ⇔ cut / qâdach kaw-dakh' קדח burn, kindle ++ HEB / hud : אד 'ûd ood  brand / Kerze	
168	ash	𓀨 𓀜		bauen putzen build, fashion 		
168	ash					
169	to	𓀻 𓋴𓋴𓏛 𓏥		riches, wealth, precious things, dainties 		
169	to	𓀼 𓋴		a noble thing 		
169	to	𓀼 𓋴𓊃𓈓		riches, wealth, precious things, dainties 		
169	to	𓀽 𓊃𓊃𓏛		riches, wealth, precious things, dainties 		
169	to	𓁀		spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night		
169	to	𓁶 𓏤 𓇋𓄿 𓏏𓄇 𓇳		due time 	iert-partra	
169	to	𓁷 𓏤 𓈗 𓆑		loyal to him	ob-mersin?	
169	to	𓃹 𓈖𓃹 𓈖𓁸	'swn~swayn	sway to and fro, nod, travel about, move about, traverse	swayn~journ	
169	to	𓁹 𓄞 𓂧 𓂝 𓈖𓈖𓐍 𓀔 𓈖		act as guardian to 	may-do fuldonnkhardn / khardn~guardian? / vollederonin-garden? / eyefilteronen / mach voll dronen garten?	
169	to	𓁹 𓈞 𓏏𓁐	marryn++	take a wife, to marry	maik brünt vrouwn well wife / Braut!! ⇔ Bread ⇔ breast	
169	to	𓁹 𓏏𓍯 𓏏𓈐		to escort	maik trot-pass / Trott! ++ / HM quem com šm sym simi same 今 现 vs HeuMilk KuhMilk comme Sahne HM⇔Rahm rama	
169	to	𓂋		 to, at, concerning, more than, from	ar	
169	to	𓂋 𓂝 𓌴 𓐙 𓂝 𓆀 𓂋		pay attention to	~remember?	
169	to	𓂋 𓂝 𓌴 𓐙 𓂝 𓆀 𓂋		a place to eavesdrop 	room ⇔ rumors / Räumer? Kammer / reinwasch? Kammer / Räuber? Kammer	
169	to	𓂋 𓂞 𓁷 𓏤		give in addition to	reich ob ...	
169	to	𓂋 𓂞 𓁷 𓏤 𓈖		give commands to	r_oben	
169	to	𓂋 𓂞 𓁷 𓐛 𓏤		incline to one side , show partiality 	reich ob part	
169	to	𓂋 𓂞 𓂝 𓏤 𓈖		give a hand to, help	reich arm an	
169	to	𓂋 𓂞 𓄖 𓏮 𓏲 𓄻		put an end to	reich backen -- ??	
169	to	𓂋 𓂞 𓅓 𓁷 𓏤		command, appoint, call the attention, call one's attention to		
169	to	𓂋 𓂞 𓊵 𓏏𓊪𓅱𓏛 𓏥 𓈖		make submission to	reachda-tautounen ←	
169	to	𓂋 𓂞 𓐟 𓏤 𓂋		put a stop to, annul	re' back a /	
169	to	𓂋 𓂞 𓐟 𓏤 𓈖		turn the back to   -}	churn back an	
169	to	𓂋 𓄤 𓆑 𓂋 𓇋𓇋𓏏		to its end	rhoot-generyt ? / r asnerit ? / ar schöne rite?	
169	to	𓂋 𓅓 𓅓 𓂡 𓏴		 to what purpose ?	refur for what END	
169	to	𓂋 𓆑		 not to be translated	ar sin / reason  / resolve -- / rest? / ref / argon / ___ ??? ← enclitic OK	
169	to	𓂋 𓆷		down to  G	← / xia vs shang!	
169	to	𓂋 𓐍 𓂺		copulate, to 'know' a woman	erekt...	
169	to	𓂋 𓐥 𓂧 𓅱𓈖𓄣 𓏤 𓈖		according to the will of	a Testament!	
169	to	𓂚 𓀜 𓂝 𓏤		go to war		
169	to	𓂝 𓃀 𓅡		make presentation 	a ... 'ein' ... : ---------------------------- / opfer ! / ?	
169	to	𓂝 𓃀 𓅡 𓄿 𓌂 𓂡		present , make presentation, provide	Offer machen / offern	
169	to	𓂝 𓃀 𓅡 𓌂		present 		
169	to	𓂝 𓆑 𓂧 𓏛		 lead , attractive ?	agent / ~office / o-send : out sender?	
169	to	𓂝 𓎸 𓃀		present 	a'jub ➙ job	
169	to	𓂞 𓁷 𓈖		give commands to	Reichs obern	
169	to	𓂞 𓅓 𓁷 𓈖		appoint , call the attention of	reich for oben	
169	to	𓂠	oPhor	offer 	present	
169	to	𓂠	oPhor	offer 	present	
169	to	𓇥 𓂋 𓊪𓂠	orPhor	 offer 	 Koffer <> p.reich = price, Preis!	
169	to	𓎛 𓆰 𓈖𓎡 𓂠		make offering 	 schenk++	
169	to	𓂠 𓏌𓏌𓏌		make offering 	reichern	
169	to	𓂠 𓏛		offer 		
169	to	𓂧 𓂋 𓊪𓂡		offer to , feed , present 	luther who / derp / ?? ←	
169	to	𓂧 𓇓𓅱𓀁		call 	leadsuer ⇔ lead / dr su	
169	to	𓂧 𓉔 𓈖𓁶		bow , appoint, order 		
169	to	𓂧 𓏇 𓇋𓀜		be joined 	δmi ⇔ zusam'	
169	to	𓂧 𓏇 𓇋𓀜		be joined 	smither ⇔ Schmied	
169	to	𓂧 𓏇 𓇋𓂛 𓀜		cleave 		
169	to	𓂧 𓏇 𓇋𓂢		be joined , accrue , cleave , suit , befall 	~da-mit, symmet ... ++ / ~schmied / ~D-mittel / dromitel ⇔ dromeda @ Medin / ⇔	
169	to	𓂧 𓏇 𓇋𓂢		be joined , accrue , cleave , suit , befall 	thmitel ⇔ smith, smite	
169	to	𓂧 𓏇 𓇋𓏜		be joined 		
169	to	𓃀 𓄡 𓅱𓁹 𓈉		of Egypt, later on, to the East	Baschuy ➙ Bahu	
169	to	𓃀 𓅱𓈉		place 	BURG / Bonn	
169	to	𓃀 𓈎 𓏛		be hostile  ?	bicker	
169	to	𓃃 𓂻		reach, arrive at, land , tread , go to 	areave / arrive	
169	to	𓃃 𓏜		reach, arrive at, land , tread , go to 	arrive	
169	to	𓃹 𓈖𓃹 𓈖𓁸		sway to and fro, nod, travel about, move about, traverse		
169	to	𓄔		hear  hear of something, listen , obey, understand, judge, satisfy 	'ear / слышный / slshni	
169	to	𓄔 𓅓		hear , hear of , listen , obey, understand, judge, satisfy 		
169	to	𓄔 𓏛		hear , hear of , listen , obey, understand, judge, satisfy 		
169	to	𓄖		northward to	hoch / achtern	
169	to	𓄟 𓋴𓃀 𓃀 𓀁		turn 		
169	to	𓄟 𓋴𓃀 𓃀 𓃲		turn , serve , deal 		
169	to	𓄡 𓏏𓏏𓂡		pluck , to prey on	schreddern / s'cut :	
169	to	𓄤 𓆑 𓂋 𓇋𓇋𓏏𓂋		down to	cut it r	
169	to	𓄭 𓂋 𓀁		appeal to, petition	riper / refer?	
169	to	𓄲 𓂋 𓂻 𓈖		serve, pass to, revert to		
169	to	𓄲 𓈖		offer 		
169	to	𓄿 𓈎 𓅪		perish, come to grief  -vål		
169	to	𓅓 𓁶 𓏤 𓈖		from.......down to	im top an ...	
169	to	𓅓 𓂝 𓆓 𓂧 𓐦 𓂡 𓍯 𓄿 𓈐 𓏏		be loyal, obedient to	vorschaun road?	
169	to	𓅓 𓂝 𓆼 𓄿 𓌙 𓌙 𓏛 𓄣 𓏤 𓈖		like in disposition to		
169	to	𓅓 𓂝 𓈖𓎡		take to yourself	⇔Monk	
169	to	𓅓 𓂟 𓎡 𓇉 𓁶		turn the back to, ignore, eschew , be neglectful 		
169	to	𓅓 𓅭		bring, present , bring away booty, extend ,, take aim		
169	to	𓅓 𓆞 𓄿		incline 		
169	to	𓅓 𓇉 𓄿 𓅱𓏛 𓏥 𓁷 𓏤		in addition to, except	for hier-enter ob / for ihrer enter ober / for ihre renter	
169	to	𓅓 𓊃𓅭		bring, present , bring away booty, extend , take aim		
169	to	𓅓 𓊄 𓂡		bring, present , bring away booty, extend , take 		
169	to	𓅓 𓊄 𓂻		bring, present , bring away booty, extend , take 		
169	to	𓅓 𓐍 𓋴𓍚 𓆱		peg 	mesh-cashen Maschen ENDE++	
169	to	𓅡 𓊌 𓁹 𓈉		Bahu: a region 		
169	to	𓅡 𓊌 𓈉		Bahu: a region 	Pfau-Stein ← YES!	
169	to	𓊃𓐍 𓈖𓈙 𓆛		© make to stink~	 stink~scknsh 𓊃𓐍 𓈖𓈙 𓆛 stench	
169	to	𓋴𓅯 𓄿 𓏲 𓅭 𓏥		birds made to fly 		
169	to	𓋴𓎝 𓎛 𓏜	schon?	© make to endure, to last, make stay , lengthen , last long	se reaha ⇔ reach 'roady' / se waither -- / ~secure / schonen / store<>dure ++	
169	to	𓅱𓂧 𓃀 𓄲 𓂻	wend++	fold over, turn , turn back, revert 	fold	
169	to	𓅱𓂧 𓈖𓆻 𓏛		offer 	<> 1mund! 2futter <> opter	
169	to	𓅱𓂧 𓈖𓌵		offer 		
169	to	𓅱𓂧 𓏴 𓂡 𓂝 𓏤		extend the hand , press the hand 	µTend extend	
169	to	𓅱𓄞 𓂧 𓀁		address , question , assent , accused	entscheide / Schied	
169	to	𓅱𓆓 𓂝 𓐣 𓏜		open , discern, assign, devote , remove		
169	to	𓅱𓋴𓌪		saw	sawct ⇔ sägen / musk? ← --	
169	to	𓅱𓍑 𓄿 𓂻 𓂋 𓈌 𓏏𓉐		go to the horizon 	saert rächter	
169	to	𓅱𓎼 𓊪𓂝		triturate 		
169	to	𓆎 𓅓 𓏜	kommt++	total up, amount to, complete, put an end to, pay ,	kommt zu ... ++ / macht summe, count compter	
169	to	𓆎 𓏛		end to, pay ,		
169	to	𓆎 𓏛		end to, pay ,	kommter count compter	
169	to	𓆑 𓐍 𓍼 𓂻		obliterate, leave , fail 	schneck-ziehern / weg-ziehern	
169	to	𓆓 𓂧		say, speak, speak of, utter , recite , tell , expect	CHAT	
169	to	𓆓 𓂧		say, speak, speak of, utter , recite , tell , expect	CHAT	
169	to	𓆓 𓃀 𓅱𓂾		reversion , a reversion offering		
169	to	𓆓 𓇓𓅱𓀁		call 	shout EN/AR +++ / الصوت ~ shout ++ AR=EN	
169	to	𓆓 𓋴𓅱𓀞		call 	schgen / schicken // horrible orthography	
169	to	𓆓 𓌃		words to be spoken, to be pronounced	sworth ⇔ swear s'words / schta⇔?	
169	to	𓆣 𓂋		exist, be, come into being, become, change , occur, happen, come to pass	ḫaper ⇔ happen, shape	
169	to	𓆣 𓂋 𓅓		amounts to	comes am ~ camounts / ce faire en /	
169	to	𓆣 𓂋 𓈖		accrue to	happern	
169	to	𓆻 𓏛		offer 		
169	to	𓇅 𓆓 𓏛		fortunate, happy, make green, make to flourish		
169	to	𓇉 𓄿 𓊪𓋳		secret, mysterious,  hide	Hoaph⇔COVER~herbst : veil	
169	to	𓇋𓂋		to, at, concerning, more than, so that, until, according as		
169	to	𓇋𓂋		as to, if	whether / ƒyr für for fair ver vers fir ifr if are / in regards	
169	to	𓇋𓂋 𓏮 𓀺		relating to	i.r.	
169	to	𓇋𓂝 𓈖𓏌𓅱𓀁		greeting ?, woe to		
169	to	𓇋𓄿 𓅓 𓆭		pleasing 	hierm : charm?	
169	to	𓇋𓄿 𓅓 𓌂		offer 		
169	to	𓇋𓄿 𓌳		pleasing   M	hierm ⇔ charm? / erm.. / earl	
169	to	𓇋𓅓 𓇋𓇋		belongs to 	a'for-I	
169	to	𓇋𓈎 𓂋 𓏜		trust, trustworthy, skilful, excellent, pleasing, well-to-do, superior	anker	
169	to	𓇋𓊃𓅭 𓄿		betake oneself 		
169	to	𓇋𓐍 𓇋𓇇 𓂡 𓏥		make to flourish	äckern	
169	to	𓇋𓐩 𓆓 𓏛		hail to...   D		
169	to	𓇥 𓂋 𓊪𓂠		offer 	Kur offer / Kur preis! / p.reich = price, Preis!	
169	to	𓇮 𓏜		display skill, supply , restore to order	cepth ⇔ biCeps capable	
169	to	𓇾 𓇾 𓇾		 flat lands 	territories	
169	to	𓈄 𓂾		reversion , a reversion offering		
169	to	𓈄 𓃀		turn 	wenden / drehn/turn	
169	to	𓈎 𓂝 𓎛 𓂢		bend , turn one's back		
169	to	𓈎 𓂝 𓎛 𓂢 𓂡		bend , turn one's back	^^ ⇔ corner / quortel ⇔ quarter back / corned beef	
169	to	𓈎 𓃀 𓎛 𓏂		present libations , be calm		
169	to	𓈎 𓃀 𓎛 𓏂 𓈗		present libations 		
169	to	𓈎 𓃀 𓏂 𓈗		pour a libation 		
169	to	𓈎 𓇋𓎛 𓂢		bend , turn one's back	quer / ⇔ corner	
169	to	𓈎 𓈖𓀜		 powerful , stout , active, conquer, amount , be profuse	kühn! keen / courn ⇔ kernig?	
169	to	𓈎 𓎛 𓂢		bend , turn ones back	quer/curve/coil / ku‘ : elbow ⇔ curve !!	
169	to	𓈖		 to, for, to , in , because, belongs to	an in no ~ nach	
169	to	𓈖		 of, belonging to	an, in, im	
169	to	𓈖𓀀 𓇋𓅓		of , belongs to 	an-moi / an-mine / long / m*i-for / ni ⇔ 你 nǐ 尔 爾 ěr / naui ⇔ moi	
169	to	𓈖𓀀 𓇋𓅓 𓇋𓇋		belongs to me	moi fori / //////////////////////////////////////////////////////	
169	to	𓈖𓆷		apt to, fit for	`asah @ SEM	
169	to	𓈖𓇋𓋴𓀁𓈖		call to, summon		
169	to	𓈖𓇥 𓂋 𓀜		grasp, hold to , follow , draw tight 	near	
169	to	𓈖𓈖𓎡		belongs to me, on my part		
169	to	𓈖𓋴𓋴		do damage 	mess	
169	to	𓈖𓌰 𓅓 𓂝 𓁀		go to sleep	nama, naum sleep++ @AR! / nu‘as : sleepy na‘asa : be sleepy ⇔ nausea++ ⇔ Nose / naka +++ : sleep with niquer+++, Nicker ⇔ night, nächten ⇔ faka / ⇔ Nickerchen ⇔ Nickel? / nama : grow / napper / messe? / nakaha : blow / nakahha : marry / nakha : smell, perfume / nakaba : make miserable / nakaza : sting / nakba : disaster / nakkata : joke / nakir : stranger	
169	to	𓈖𓌰 𓈖𓅓 𓌰 𓅓 𓂻		quake, quiver, go to and fro		
169	to	𓈖𓍇 𓏌𓅱𓇋𓇋𓂻		return , come , bring back 		
169	to	𓈖𓏏		 of, belonging to	an-to / ante / ⇔ nach' / !not:not	
169	to	𓈖𓏏𓆑		to his father	Mut-sin Mutter-ihr / ƒ?	
169	to	𓈖𓏏𓆑		 he, belongs to him	ante sin  /  onto sin / ⇔ anth ➙ owns?	
169	to	𓈖𓏏𓎡		 you, belongs to you	ante hju	
169	to	𓈖𓐍 𓃀 𓏏𓏴 𓏛 𓏥		titulary, to cover, overlaid		
169	to	𓈖𓐍 𓃀 𓏴		open , assign 	new.ben = new benefican son? / ⇔	
169	to	𓈙 𓊪𓋴𓋴𓀻 𓏥		riches, wealth, precious things, dainties 	choses ++ / schloss-immens / schoss-immens ⇔ Schatz / schpass-immens: / space-immens?	
169	to	𓈝 𓅓 𓂻		go , walk, set out, pass, set 	SPR? / ⇔ mesziah = marschier	
169	to	𓉐 𓂋 𓂻		go up, ascend , be subtracted 	partir	
169	to	𓉐 𓂋 𓏏𓂻 𓅓 𓂋		from.......to		
169	to	𓉔 𓃀 𓂻 𓂋		send to , send for		
169	to	𓉔 𓃀 𓂻 𓈖		send to 	houbtnea الخطوة / AR++%	
169	to	𓉔 𓃀 𓍁 𓂻		tread out , tread , travel , enter 		
169	to	𓉔 𓄿 𓂻		accede , grasp the meaning of		
169	to	𓉔 𓄿 𓃀 𓍁 𓏥		travel 	houarib ضراوع لا AR++% / houarib ال عوارض / QED	
169	to	𓉔 𓈖𓈖𓁶		attend to, consider, trust , assent , approve, cajole ?		
169	to	𓉔 𓈖𓈖𓁶 𓀁		attend to, consider		
169	to	𓉔 𓈖𓈖𓂢 𓂡		assent 	henntel ~ handle ⇔ hand	
169	to	𓉔 𓈖𓈖𓏝		attend to, consider		
169	to	𓊃𓂋 𓅱𓂧 𓌗		© strengthen, maintain, perpetuate, make to flourish, restore 		
169	to	𓊃𓅠 𓅓 𓎛 𓁹		© cause to see, glimpse 	ßyinher / sehen / cynic ?	
169	to	𓊃𓅭 𓄿 𓂻		betake oneself 		
169	to	𓊃𓆓 𓅓 𓄔		hear , hear of , listen , obey, understand, judge, satisfy 	Gardiner: sdm like arabian sami'a wtf: one in common? / well , if you pull the sch: sdm ßshm.ear ~ ßmia ~ sami'a / foundation, endowment	
169	to	𓊃𓈖𓆑 𓏮 𓊡		© make to breathe, succour, unload , empty out 	~syn.qpneu@greek	
169	to	𓊃𓈖𓌰 𓅓 𓏜		pray , beg 		
169	to	𓊃𓈙 𓄿 𓏮 𓀁		pray 	⇔ gnost	
169	to	𓊃𓉐 𓂋 𓂻		© make to miss , expel 		
169	to	𓊃𓉐 𓂋 𓂻 𓏜		© make to miss , expel 		
169	to	𓊃𓊃𓈖𓈀		© cause to pass	ziehen ⇔ / zieh, ziah ⇔ / sair : run, walk, process /  observation Aze seyr, Hin sair, Per seyr, Taj sayr, Tur seyir / jaula : a tour, a walk jolla / nmesziah ⇔ marschier ƒhier ? / masha : go, walk, marsch+++! / mashi : walking /  guideline Per mashi / nazuha : go for a walk +++ ! / nuzha : a walk / tanazzaha : go for a walk ⇔ traverse ƒ	
169	to	𓊃𓍋 𓃀 𓏜		© make to tarry		
169	to	𓊃𓍯 𓄿 𓈙 𓀢 𓏜		© pay honour to, applaud	thrush	
169	to	𓊃𓎡 𓂋 𓀓 𓂢 𓅪		© make to bow down    -vål	se'curva	
169	to	𓊃𓐍 𓈖𓈙 𓆛		© make to stink		
169	to	𓊄		go, travel, attain, watch over, send, conduct , spend, pass , attain , approach	zieher ziehen +++ !!! / zieh, ziah ⇔ / sair : run, walk, process /  observation Aze seyr, Hin sair, Per seyr, Taj sayr, Tur seyir / jaula : a tour, a walk jolla / ziara : visit /  pilgrimage Aze ziyaret, Hau ziyara, Hin ziyarat, Ind ziarah, Kyr zyiarat, Per ziyarat, Swa ziara, Tur ziyaret @SEM / @AR / nmesziah ⇔ marschier ƒhier ? / masha : go, walk, marsch+++! / mashi : walking /  guideline Per mashi ال مشي / nazuha : go for a walk +++ ! / nuzha : a walk / tanazzaha : go for a walk ⇔ traverse ƒ	
169	to	𓊄 𓃀 𓏮 𓂻		go, travel, attain, watch over, send, conduct , spend, pass , attain , approach		
169	to	𓊄 𓅪  𓈖𓇾 𓈇 𓏤		crumble to dust  -vål		
169	to	𓊖 𓏏𓏤 𓇯 𓆗		lower heaven  t Ortho ??? R➙L Right to left proof!!		
169	to	𓊨 𓉔 𓄿 𓀋		liability to corvee	Steuer	
169	to	𓊪𓄡 𓄲 𓂻 𓈖		serve, pass to, revert to	~position vs prescription	
169	to	𓊪𓊖		belonging to Pe	"Pur Phoiur Pyr ~ Feuer PurPur! / Pe, one of two cities which merged into Buto PuDo ← ""Pe and Dep"" ! / photor futur"	
169	to	𓊪𓊖		belonging to Pe	Pur Phoiur Pyr ~ Feuer PurPur! / ⇔Petra!	
169	to	𓊪𓏏𓐍		cast 	push++ / putch / auch elsewhere ohne t as s	
169	to	𓊪𓏏𓐍 𓂻		cast , put down , be stretched out 		
169	to	𓊵		be pleased , be happy, be gracious , pardon , be at peace, peaceful, become calm	Māte / माफी maphy !?! / مترف mataroph/maptaroph ⇔ getting hot!	
169	to	𓊵  𓏏 𓊪 𓅓  𓋹  𓈖 𓐍		set , go to rest, die  R4 X1 Q3 G17 S34 N35 Aa1	tomb / R4 TeutaTeig Tüte, Tote altar Saturn tauto Tapeth piece 太 平 tàipíng = peace! Täufer ⇔ ThaiPhoth Teufel=tai'bal vs FreyDon! HOTEP nihtu = peace/rest ! 太taip tab=top:good,well! / R4 *mapita tapet tent ⇔ ting?	
169	to	𓊵 𓏏𓊪		be peaceful, become calm, go to rest, set		
169	to	𓊵 𓏏𓊪𓅓 𓋹 𓈖𓐍		set , go to rest, die 		
169	to	𓊵 𓏏𓊪𓅓 𓋹 𓈖𓐍		set , go to rest, die 	Thaiphoon for Ankh	
169	to	𓊵 𓏏𓊪𓏜		be pleased , be happy, be gracious , pardon 		
169	to	𓊵 𓏏𓊪𓏜		be pleased , be happy, be gracious , pardon 		
169	to	𓋧		necklace 		
169	to	𓋭 𓊃𓏛		used as a prefix to form abstracts		
169	to	𓋭 𓊃𓏛		used as a prefix to form abstracts	Vester?	
169	to	𓋴𓂋 𓃱 𓀁𓂚 𓀜		challenge to battle	guerre!! +-	
169	to	𓋴𓂋 𓃱 𓀁𓂚 𓀜		challenge to battle	guerre!! +-	
169	to	𓋴𓂋 𓅓 𓁿		© cause to weep	ärgern	
169	to	𓋴𓂋 𓅱𓌗 𓏛		© strengthen, maintain, perpetuate, make to flourish, restore 		
169	to	𓋴𓂋 𓆓 𓎗 𓌗		© strengthen, maintain, perpetuate, make to flourish, restore 		
169	to	𓋴𓂋 𓈎		inhale, permit to breathe 	<> throats s'rachen 	
169	to	𓋴𓂋 𓈎 𓏛		inhale, permit to breathe 		
169	to	𓋴𓂋 𓌌 𓌗 𓏛		© strengthen, maintain, perpetuate, make to flourish, restore 		
169	to	𓋴𓂋 𓌗		© strengthen, maintain, perpetuate, make to flourish, restore 		
169	to	𓋴𓂋 𓌗		make to grow, plant , erect 		
169	to	𓋴𓂚 𓂡		© make to vie 	sarch / search / sargeant	
169	to	𓋴𓂝 𓂋 𓂻		cause to approach , bring to an end, forward 		
169	to	𓋴𓂝 𓂋 𓂻		cause to ascend, make to rise 		
169	to	𓋴𓂝 𓂋 𓈎 𓍼		© finish off, complete, put a stop to		
169	to	𓋴𓂝 𓂋 𓈐 𓂻		cause to approach , bring to an end, forward 		
169	to	𓋴𓂝 𓂋 𓈐 𓂻		cause to ascend, make to rise 		
169	to	𓋴𓂝 𓂋 𓏮 𓈐 𓂻		cause to approach , bring to an end, forward 		
169	to	𓋴𓂝 𓂋 𓏮 𓈐 𓂻		cause to ascend, make to rise 	SORTIR!!	
169	to	𓋴𓂝 𓍯 𓄿 𓐎		© cause to go bad	thrower? / Europa	
169	to	𓋴𓂧 𓃀 𓉽		restore   U		
169	to	𓋴𓂧 𓏇		© attach 		
169	to	𓋴𓂧 𓏇 𓇋		© attach 	stemmi- / stelle	
169	to	𓋴𓂸 𓏏𓂋 𓌙 𓌙 𓀁		© bear witness to , examine, make enquiry		
169	to	𓋴𓂸 𓏏𓇋𓇋𓏏𓌙 𓌙		© bear witness to , examine, make enquiry		
169	to	𓋴𓂸 𓏏𓌙 𓌙 𓏜		© bear witness to , examine, make enquiry	←:>spitzeln	
169	to	𓋴𓃀 𓈙 𓇋𓇋𓂐		© make to vomit	speien / spit / spucken	
169	to	𓋴𓃀 𓈙 𓇋𓇋𓂐		 make to vomit	sptein spit speien stain spucken	
169	to	𓋴𓃀 𓉔 𓄿 𓂽		© make to flee	spurt / Acorus calamus	
169	to	𓋴𓄝 𓏏𓊮		set 	set	
169	to	𓋴𓄲 𓂋 𓂻		© cause to circulate, brandish 		
169	to	𓋴𓄲 𓂋 𓂻 𓏛		© cause to circulate, brandish 	stirr++	
169	to	𓋴𓄿		© make to linger	 ?	
169	to	𓋴𓅓 𓄔		hear , hear of , listen , obey, understand, judge, satisfy 	⇔“djedem” / ⇔kümmern?	
169	to	𓋴𓅡 𓈎 𓈎 𓆭		causative give a clear character , commend 		
169	to	𓋴𓅧 𓈎 𓂻		© cause to enter, bring to land, bring, send in, drive 		
169	to	𓋴𓅯 𓄿 𓏲 𓅭 𓏥		birds made to fly 		
169	to	𓋴𓅱𓍑 𓄿 𓂻		 convey 		
169	to	𓋴𓆎 𓅓 𓀜		© make complete, make up to	skim ++ s∑am com... ++?	
169	to	𓋴𓆑 𓐍 𓍼 𓂻		© offer , let go 	schenken ++	
169	to	𓋴𓆑 𓐍 𓍼 𓏛		© offer , let go 	schenken	
169	to	𓋴𓆓 𓃀		restore 	 sleep s'live  <<  gesund gesanib ++++	
169	to	𓋴𓆭 𓏜		© make well-disposed 	←	
169	to	𓋴𓆷 𓄿 𓀃		pray 	spähen ⇔ spy	
169	to	𓋴𓆼 𓄿 𓀁		© remember, call to mind, think about, mention		
169	to	𓋴𓇅 𓆓		© make green , make to flourish 		
169	to	𓋴𓇅 𓏜		© make green , make to flourish 		
169	to	𓋴𓇆 𓏜		© make green , make to flourish 		
169	to	𓋴𓇋𓊪𓏛		inspect, examine, revise, entrust, allot, assign, destine , organize 		
169	to	𓋴𓇋𓌳 𓆭 𓏜		© make well-disposed 	sieh-ma'	
169	to	𓋴𓇋𓍿𓈖		© subordinate 		
169	to	𓋴𓇥 𓂋		spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night		
169	to	𓋴𓇥 𓂋 𓁀		spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night	snore ⇔ stauer!? / churt چورت nap /  short snoret +++ --EN	
169	to	𓋴𓇥 𓂋 𓏏𓁀 𓎱		 Laying  to Rest		
169	to	𓋴𓇮 𓂧 𓌪		display skill, supply , restore to order		
169	to	𓋴𓈍		© cause to appear , display 		
169	to	𓋴𓈍 𓂝		© cause to appear , display 		
169	to	𓋴𓈍 𓂝 𓇋𓇋		© cause to appear , display 	schron? ←?> shine? ⇔ shown / kuron / geron / show!?!	
169	to	𓋴𓈎 𓃀 𓎛 𓏂		  live in easy circumstances		
169	to	𓋴𓈖𓆑 𓊡		© make to breathe, succour, unload , empty out 	sensen wind	
169	to	𓋴𓈖𓆑 𓊡 𓀜		© make to breathe, succour, unload , empty out 		
169	to	𓋴𓈖𓍇 𓏌𓅱𓂋 𓅭		© make to tremble		
169	to	𓋴𓈖𓍇 𓏌𓅱𓂋 𓆛		© make to tremble		
169	to	𓋴𓈟 𓅓 𓂽		© put a stop to		
169	to	𓋴𓉔 𓄿 𓂻		© bring down, make to fall	throw / shachah / shiychah	
169	to	𓋴𓉔 𓄿 𓇋𓇋𓏏𓂻		 bring down, make to fall	shachah@HEB ++	
169	to	𓋴𓊢 𓂝 𓂻		 raise up, cause to stand, set up, erect, insatl, accuse, establish 	stair : stehen	
169	to	𓋴𓊣		© raise up, cause to stand, set up, erect, insatl, accuse, establish 	stand	
169	to	𓋴𓊪𓂧 𓇮		display skill, supply , restore to order	~spend ? / supply?	
169	to	𓋴𓊪𓏝		inspect, examine, revise, entrust, allot, assign, destine , organize 	spect* ++ / specter ++ / spection ++	
169	to	𓋴𓊵		© provide , make gracious 	share ++	
169	to	𓋴𓊵 𓏏𓊪𓏜		© provide , make gracious 		
169	to	𓋴𓋴𓃀 𓏏𓄑 𓀁		make to laugh	spitze / ⇔ sachaq ? / ⇔gackern?--	
169	to	𓋴𓋾 𓈎 𓏛		© cause to rule, install as ruler	___ / ~Sektor? / Schichter / shake	
169	to	𓋴𓌗 𓂋 𓎗 𓅱𓆓 𓏛		© make to flourish, restore 	s'rich weansh	
