896	DESTROY	дохо	doxo	~	аилаҧыххаара	áilɑpʰ ɨχχɑːrɑ		მოსპობს	mɔspˀ ɔbs	<> sparta?	քանդել	kʰɑntʰɛl		
897	BURN (SOMETHING)	даго	dəɡo		абылра	ɑb ɨlrɑ		დაწვავს	dɑ č ˀv ɑvs	√thyss	այրել	ajɾɛl	ash	
898	GIVE	яла	jələ		аҭара	ɑtʰ ɑrɑ		აძლევს	ɑd͡zl ɛvs	ad… teil… < tʰɑrɑ > share	տալ	tɑl	don	
899	PASS (SOMETHING)	дӏадала	dʡə dələ		аҭара	ɑtʰ ɑrɑ		მიაწოდებს	miɑč ˀɔd ɛbs	mit > metre, mission	հանձնել	hɑntʰ͡znɛl		
900	DONATE	совгӏат дан	sɔ͡ʊɣət dən		аҩгара	ɑɥɡ ɑrɑ		აჩუქებს	ɑçukʰ ɛbs		նվիրել	nəviɾɛl		
901	PROMISE	ваӏда дан	vəʡdə dən		ақəргəыӷра	ɑkʰərɡəɨʁrɑ		აღუთქვამს	ɑɣutʰkʰvɑms		խոստանալ	xostanal		
902	WISH (SOMEONE SOMETHING)	лаа	ləə					უსურვებს	usurv ɛbs	whisher	մաղթել	mɑʁtʰɛl	𓏱? mürthel-Rute?	
903	PRAISE	хасто	xəsto		арҽхəара	ɑrʈ͡ʂʰχə ɑrɑ		აქებს	ɑkʰ.ɛbs	ɑkʰ < 𓎛𓎡𓏌𓏜   ɑkʰ.ɛbs 𓎛𓎿𓊃 	գովել	ɡɔvɛl		
904	KISS	оба яккха	obə jəqːə	lip jux	агəӡра	ɑɡəd͡zrɑ		აკოცებს	ɑkˀɔčʰ ɛbs	a kiss	համբուրել	hambuɾɛl	hamburger ;)	
905	ROCK (A CHILD)	тахка	təxkə					არხევს	ɑrx ɛvs	a'rock	օրորել	ɔɾɔɾɛl		
906	COVER (A CHILD)	тӏетаса	tʼetəsə		аҵахҩара	ɑč ʼɑχɥ ɑrɑ		გადახურავს	ɡɑ dɑ xur ɑvs	ge.dacher	վրան գցել	vəɾɑn ɡčʰɛl		
907	WAKE	самадаккха	səmədəqːə		арҿыхара	ɑrʈʈ͡ʂʼɨχ ɑrɑ		გააღვიძებს	ɡɑ ɑɣvid͡z ɛbs	ge.aufgeweckt <> 𐌿𐌷𐍄𐍅𐍉 wacht	զարթնեցնել	zɑɾtʰnɛčʰnɛl		
908	SHOW	гайта	ɡəɪ̆tə	guide	арбара	ɑrb ɑrɑ	ar.bar <> voir	დაანახვებს	dɑ ɑnɑxv ɛbs	da-𓈖𓍇𓏌𓁹	ցույց տալ	čʰujčʰ tɑl		
909	GUIDE (TO DESTINATION)	дига	dɪɡə	duce!	аныҟəгара	ɑnɨqʼəɡ ɑrɑ		მიჰყავს	mihqˀ ɑvs		ուղեկցել	uʁɛkčʰɛl		
910	TEACH	ӏамо	ʡəmo	llamo	арҵара	ɑrčʼ ɑrɑ		ასწავლის	ɑsčˀɑvlis	𓋴𓇼𓂡  astro… as'teachvl	սովորեցնել	sɔvɔɾɛčʰnɛl	sophor 𓋴𓃀𓇼𓄿𓀜	
911	INSTRUCT	хьеха	ʜexə	hexer < teacher	арҧхьара	ɑrpʰχʲerɑ		ასწავლის	ɑsčˀɑvlis	a stafel@Tafel ?	ավանդել	ɑvɑntʰɛl		
912	RAISE (A CHILD)	кхио	qɪō		ааӡара	ɑːd͡z ɑrɑ		აღზრდის	ɑɣzrdis	a'chird !	դաստիարակել	dɑstiɑɾɑkɛl	de.ste…	
913	LEAD (GUIDE)	урхалла дан	u͡ʊrxəlːə dən		ахагылазаара	ɑχɑɡɨlɑzɑːrɑ		აწარმოებს	ɑč ˀɑrmɔ ɛbs	ać arma	ղեկավարել	ʁɛkɑvɑɾɛl		
914	URGE (SOMEONE)	сихдан	sɪx dən		арццакра	ɑrčʰčʰɑk ʼrɑ		დააჩქარებს	dɑ ɑçkʰɑr ɛbs	de.urger	շտապեցնել	əʃtɑpɛčʰnɛl		
915	CAUSE SOMEONE TO	-йта	-ɪ̆tə		арҟаҵара	ɑrqʼɑč ʼ ɑrɑ		ა--ინებს	ɑ--in ɛbs		ստիպել	əstipɛl	𓊨?	
916	INVITE	кхайкха	qəɪ̆qə	gueste	ааҕхьара	ɑːʁχʲerɑ		მოიპატიჟებს	mɔipˀɑtˀiʒ ɛbs	me.inpait.iz.obs	հրավիրել	həɾɑviɾɛl	herein ƒ	
917	JOIN	цхьаьнатоха	čʜænətoxə		аилаҵара	ɑilɑč ʼ ɑrɑ		შეაერთებს	ʃɛ ɑɛrtʰ ɛbs	sy-aerte?	միացնել	miɑčʰnɛl	meat?	
918	VISIT	хьажахIотта	ʜəʒəxiotːə		абара	ɑb  ɑrɑ		სანახავად მიდის	sɑnɑxɑvɑd midis	syn.axa meat	այցելել	ajčʰɛlɛl	gast?	
919	ENCOUNTER	дуьхьалкхета	dyʜəlqetə		аҧылара	ɑpʰ ɨl ɑrɑ		შეხვდება	ʃɛ xvd ɛbɑ	sy-chevde	հանդիպել	hɑntʰipɛl	hanti-	
920	MEET	гулдан	ɡu͡ʊl dən	gather <>	аизара	ɑiz ɑrɑ		შეიკრიბება	ʃɛ ikˀrib ɛbɑ	sy-icribe <<	հավաքվել	hɑvɑkʰvɛl		
921	PLAY	ловза	lɔ͡ʊzə	leisure	ахəмарра	ɑχəmɑrrɑ		ეთამაშება	ɛtʰɑmɑʃ ɛbɑ	"""Masche"""	խաղալ	xaɣal	xaɣ ~ chess ɣax ~ Schach	
922	SING	лакха	ləqə	lark	ашəаҳəара	áʂəɑħə ɑrɑ		მღერის	mɣɛris	me.crys? eros? muser ɣɛri kyrie?	երգել	jɛɾɡɛl	gurgel jodel ;)	
923	DANCE	хелхадала	xelxə dələ	kelkedele 🧡	акəашара	ɑkʼəɑʂ ɑrɑ		ცეკვავს	čʰɛkˀv ɑvs	shake	պարել	pɑɾɛl	@parkett	
924	PART WAYS	къаста	qʼəstə	quest! asta la vista	аилыҵра	ɑilɨč ʼrɑ		მოშორდება	mɔʃɔrd ɛbɑ	marsh me.schorde <> scheide schade 	ցրվել	čʰəɾvɛl	zer…	
925	LEAVE (SOMEONE)	дита	dɪtə	< GO	акажьра	ɑkʼɑʒrɑ		მიატოვებს	miɑtˀɔv ɛbs	mit:send	լքել	ləkʰɛl	leagh = leave	
926	RESCUE	кӏелхьардаккха	kʼelʜərdəqːə	gehilf@herd/guard	Аиқəрхара	ɑikʰərχ ɑrɑ		იხსნის	ixsnis		փրկել	pʰəɾkɛl	√park?	
927	GUARD (SOMEONE)	ха дан	xə dən	gaʳ.den guarding	ахьчара	ɑχʲç ɑrɑ		დარაჯობს	d ɑrɑd͡ʒ ɔbs	de.guarad…	պահել	pɑhɛl	pɑhɛ-tect	
928	PROTECT	лардан	lər dən	l'warden <> lord	ацəыхьчара	ɑč ʰəɨχʲç ɑrɑ		დაიფარავს	dɑ ipʰ ɑr ɑvs	de-𓉐 de-𓐩𓏌𓏛	պաշտպանել	pɑʃtpɑnɛl	postpanel?	
929	DEFEND	лардан	lər dən	l'warden	ахьчара	ɑχʲç ɑrɑ		დაიცავს	dɑ ičʰ ɑvs	de-ɑχʲç	պաշտպանել	pɑʃtpɑnɛl		
930	BRAWL	етта	etːə	2 : Zwist	аисра	ɑisrɑ		იჩხუბებს	içxub ɛbs	<> Zwist?	կռվել	kərvɛl	Kravall:	
931	SHOOT	детта	detːə	töte dshetta τ­οτε 	ахысра	ɑχɨsrɑ	a'schiesser	ისვრის	isvris	<<ɑχɨsrɑ	կրակել	kəɾɑkɛl	…𓐍…𓐍	
932	WIN	тола	tolə	≠Teil	аиааира	ɑiɑɑirɑ		გაიმარჯვებს	ɡɑ imɑrd͡ʒv ɛbs	gamarǯveba@game ge.imard?   მოგება mogeba	հաղթել	haɣtʰɛl		
933	ANNOY	оьгӏаздахийта	øɣəzdəxɪɪ̆tə		аргəаара	ɑrɡəɑ ɑrɑ		აჯავრებს	ɑd͡ʒɑvr ɛbs	𓌈 𓆓 𓏴 𓄣 𓏤 ?	ձանձրացնել	d͡zɑntʰ͡zɾɑčʰnɛl		
934	BEAT	тоха	toxə	𒆪 τόξε	асра	ɑsrɑ		ცემს	čʰɛms	𒆪 τόξε?	խփել	xpʰɛl		
935	KICK	мийра тоха	mɪɪ̆rə toxə					პანღურს ამოჰკრავს	pˀɑnɣurs ɑmɔ hkˀr ɑvs	Bein/Hacke 𓃀/𓀂	քացի տալ	kʰɑčʰi tɑl		
936	STING	ӏотта	ʡotːə	iotta!	алакшара	ɑlɑkʼʂ ɑrɑ	≠al.axe	სჩხვლეტს	sçxvlɛtˀs		խայթել	χɑjtʰɛl		
937	SHOVE (SOMEONE)	татта	tətːə	dɑɛd͡ʒɑx	агəҭасра	ɑɡətʰɑsrɑ	≠gather	დაეჯახება	dɑ ɛd͡ʒɑx ɛbɑ	drängel	մղել	məʁɛl		
938	STEAL	лачкъо	ləçqʼo	√let	аӡара	ɑd͡z ɑrɑ		ქურდობს	kʰurd ɔbs	kurde~ganove ++	գողանալ	ɡɔʁɑnɑl	gaunern	
939	DISTURB (SOMEONE)	новкъарло ян	nɔ͡ʊqʼərlo jən		аҧырхагахара	ɑpʰ ɨrχɑɡɑ χ ɑrɑ		შეაწუხებს	ʃɛ ɑč ˀux ɛbs		խանգարել	χɑŋkʰɑɾɛl		
940	BOTHER	сагатдан	səɡət dən		аргəамҵра	ɑrɡəɑmč ʼrɑ		მობეზრდება	mɔbɛzrd ɛbɑ	me.bothrede? +++	անհանգստացնել	ɑnhɑŋkʰstɑčʰnɛl		
941	CONCEAL	къайладаккха	qʼəjlədəqːə		аӡара	ɑd͡z ɑrɑ		დამალავს	dɑ mɑl ɑvs	de¬mal?	թաքցնել	tʰɑkʰčʰnɛl		
942	DECEIVE	ӏexo	ʡexo		ажьара	ɑʒ ɑrɑ		შეცდებს	ʃɛ čʰd ɛbs	se.ceivde ~~~	խաբել	χɑpʰɛl		
943	BETRAY	ледан	le dən	ver.leiten  𐌻𐌴𐍅𐌾𐌰𐌽	ажьара	ɑʒ ɑrɑ	 הִסְגִּיר‎ (hisgír)	მოატყუებს	mɔɑtˀqˀu ɛbs	mord.que	խաբել	χɑpʰɛl		
944	KILL	ден	den	tue.ten	ашьра	ɑʃrɑ	<<	მოკლავს	mɔkˀl ɑvs	murks	սպանել 	əspɑnɛl 	aus…¬spin?	
945	DWELL (LIVE, RESIDE)	даха	də̄xə		анхара	ɑnχ ɑrɑ		ცხოვრობს	čʰxɔvr ɔbs	dwell < čʰxɔvr !	բնակվել	bənakvɛl	𐌱𐌰𐌿𐌰𐌽 bauan wohnen 	
946	WORK (ACTIVITY)	къахьега	qʼəʜeɡə	qworke !	аусура	ɑusurɑ	a'cur acker	მუშაობს	muʃɑ ɔbs	my.jobs  muʃɑ<>make?	աշխատել	ɑʃχɑtɛl	𐌰𐍂𐌱𐌰𐌹𐌸 ackert agorc գործ a'qızmet a'zəhmət 𐌱<>Q!	
947	GATHER	гулдан	ɡu͡ʊl dən	gathr.tun	аҟəшəара	ɑqʼəʂə ɑrɑ		შეკრებს	ʃɛ kˀr ɛbs	se.grabs <>	հավաքել	hɑvɑkʰɛl	harvest	
948	PICK	даха	dəxə		аҿыршəара	ɑʈʈ͡ʂʼɨrʂə ɑrɑ		კრეფს	kˀrɛpʰs	grabs:crab:krebs 🦀	քաղել	kʰɑʁɛl	grab	
949	HUNT	талла	təlːə	jagt | tagl -- wtf	ашəарыцара	ɑʂəɑrɨčʰ ɑrɑ		ნადირობს	nɑdir ɔbs	𓈖𓍇𓏌𓅱𓁹𓂻𓀀 @nature	որս անել	ʋɔɾs ɑnɛl		
950	CATCH FISH	чӏерий леца	çʼerɪɪ̆ lečə	pseri …:	аҧсыӡ икуеит	ɑpʰ sɨd͡z ikʼuɛitʼ		თევზაობს	tʰɛvzɑ ɔbs	thefts<>catch?	ձուկ բռնել	d͡zuk brnɛl		
951	CATCH (AN ANIMAL)	лаца	ləčə	lasso l'fetch	акра	ɑk ʼrɑ		დააჭერს	dɑ ɑçˀɛrs	de.hetch.er.s	բռնել	bərnɛl		
952	HERD (CATTLE)	лардан	lər dən	l'herden	арҳəра	ɑrħ ərɑ		მწყემსავს	mčˀqˀɛms ɑvs		արածեցնել	ɑɾɑčɛčʰnɛl	heard.zusamn	
953	DRIVE (CATTLE)	лахка	ləxkə	lenke	акацара	ɑkʼɑč ʰ ɑrɑ		მიერეკება	miɛrɛkˀ ɛbɑ	me.hiereko.ba ?	հովուել	hɔvujɛl	hop? vache?	
954	TIE UP	дӏадехка	dʡədexkə		адҳəалара	ɑdħəɑl ɑrɑ		მიაბამს	miɑb ɑms	mob / me.bin.de (bind)	չուանել	çʰuɑnɛl	con join	
955	FEED	хӏума яла	hu͡ʊmə jələ	hume jalla	акырҿаҵара	ɑkʼɨrʈʈ͡ʂʼɑč ʼ ɑrɑ		აჭმევს	ɑçˀm ɛvs		կերակրել	kɛɾɑkɾɛl	carne? krakel?	
956	DRAW MILK	оза	ōzə		ахьара	ɑχʲerɑ		წველის	čˀvɛlis		կթել	kətʰɛl		
957	CHOP				аҟəаҟəара	ɑqʼəɑqʼə ɑrɑ		კეპავს	kˀɛpˀ ɑvs	chop	կոտորել	kɔtɔɾɛl	cut	
958	WATER (A PLANT)	хи тоха	xɪ toxə		аҵаҭəара	ɑč ʼɑtʰə ɑrɑ		რწყავს	rčˀqˀ ɑvs	ˀqˀɑv <> aqua?	ջրել	d͡ʒəɾɛl	wad͡ʒəɾ	
959	RIPEN	хьекъа	ʜeqʼə		ашəра	ɑʂ ərɑ		მწიფდება	mčˀipʰd ɛbɑ		հասունանալ 	hɑsunɑnɑl 		
960	COOK (SOMETHING)	кечъян	keçʔjən		ацура	ɑč ʰurɑ		მოამზადებს	mɔɑmzɑd ɛbs		պատրաստել	pɑtɾɑstɛl	pasta petra?	
961	BOIL (SOMETHING)	кхача бан	qəçə bən		ажəра	ɑʐ ərɑ		მოხარშავს	mɔxɑrʃ ɑvs	makaroni	եփել	jɛpʰɛl	jɛboil <> chef	
962	BAKE	датта	dətːə	𓏏𓏐	аӡра	ɑd͡zrɑ		გამოაცხობს	ɡɑ mɔɑč ʰx ɔbs	ge.matsch;)	թխել	tʰəxɛl	thyss köchel @tech:shop	
963	FRY	кхарза	qərzə	<> Kerze (heiz)	аӡра	ɑd͡zrɑ		შეწვავს	ʃɛ čˀv ɑvs	se.thyss	տապակել	tɑpɑkɛl	taback?	
964	STIR (SOMETHING)	кего	keɡo		аилрыхра	ɑilrɨχrɑ		შეურევს	ʃɛur ɛvs	ʃɛur~stir  𓋴𓏌 <> sour:milk/butter 𓀧	խառնել	χɑrnɛl	𓊖𓐍	
965	KNIT				аҧара	ɑpʰ  ɑrɑ		ქსოვს	kʰsɔvs	knisow > knit, sew	գործել	ɡɔɾčɛl	𓊖𓐍	
966	SEW	тега	teɡə		аӡахра	ɑd͡zɑχrɑ		გაკერავს	ɡɑ kˀɛr ɑvs	ge.kera?  կարել karel coudre  κασσύω cōsere consuō sew	կարել	kaɾɛl	𓊖𓐍	
967	DYE	басардан	bəsər dən	basar/faser/боја/farbe	ашəра	ɑʂ ərɑ		შეღებავს	ʃɛ ɣ ɛb ɑvs		ներկել	nɛɾkɛl		
968	CLEAN (SOMETHING)	цӏандан	čʼən dən		арыцқьара	ɑrɨčʰkʰʲerɑ		გაწმენდს	ɡɑ č ˀmɛnds		մաքրել	mɑkʰɾɛl	make.rein makellos	
969	WASH	йила	jɪlə		аӡәӡәара	ɑd͡ʑʷd͡ʑʷorɑ		გარეცხავს	ɡɑ rɛčʰx ɑvs	ge.reinx	լվանալ	ləvanal	lavandry	
970	WIPE	дӏадайа	dʡədəjə		арбара	ɑrb ɑrɑ		წაშლის	čˀɑʃlis	swish?	սրբել	səɾpʰɛl	soap! swipe <> serpent?	
971	RINSE	хи кхарза	xɪ qərzə		аҭыршара	ɑtʰɨrʂ ɑrɑ		გაავლებს	ɡɑ ɑvl ɛbs	ge.ab~lass	ողողել	ʋɔʁɔʁɛl	ONO / 𓍶?	
972	SWEEP	нуй хьакха	nu͡ʊɪ̆ ʜəqə		аҧссара	ɑpʰ ss ɑrɑ		დაბლანდავს	dɑ blɑndɑ vs	bland? --	ավլել	ɑvlɛl		
973	SWEEP (SOMETHING)	нуй хьакха	nu͡ʊɪ̆ ʜəqə					დაგვის	dɑ ɡvis	gwish	ավլել	ɑvlɛl		
974	BATHE	лийча	lɪɪ̆çə	wash	аҽыкəабара	ɑʈ͡ʂʰɨkʼəɑb  ɑrɑ		ბანაობს	bɑnɑ ɔbs	banyar bain baño ва́на vána	լողանալ	loɣanal	laugen	
975	WASH (ONESELF)	юьхь йила	jyʜ ɪ̆ɪlə		аҽыӡəӡəара	ɑʈ͡ʂʰɨd͡zəd͡zə ɑrɑ		იბანება	ibɑn ɛbɑ	bane=bath	լվացվել	ləvačʰvɛl	lavandry, ləvanal	
976	TAKE OFF	духар дӏадаккха	du͡ʊxər dʡədəqːə		ашəыхра	ɑʂəɨχrɑ		გაიხდის	ɡɑ ixdis	geh.ἰχθύς (fish:()	հանել	hɑnɛl	@hand? ziehen?	
977					ашəҵара	ɑʂəčʼ ɑrɑ		ჩაიცვამს	çɑičʰvɑms		հագնել	hɑɡnɛl	hegen?	
978	DRESS UP	духа	du͡ʊ̄xə	drex	аҽеилаҳəара	ɑʈ͡ʂʰɛilɑħə ɑrɑ		ჩაიცვამს	çɑičʰvɑms		հագնվել	haɡnəvɛl		
979	COMB (VERB)	ехк хьакха	exk ʜəqə	1 hexa	аҳəара	ɑħə ɑrɑ		დავარცხნის	dɑ vɑrčʰxnis	wartschen;)	սանրել	sɑnɾɛl		
980	DECORATE	хаздан	xəz dən		арҧшӡара	ɑrpʰʂd͡z ɑrɑ		მორთავს	mɔrtʰ ɑvs	@𓏱 ?	զարդարել	zɑɾtʰɑɾɛl		
981	SAY	ала	ələ		аҳəара	ɑħə ɑrɑ		იტყვის	itˀqˀvis	out.qvis  𐌵𐌹𐍃𐍃 𐌵𐌹𐌸𐌰𐌽	ասել	ɑsɛl	𓃘 xosɛl quassel quoth qiz	
982	SPEAK	баха	bəxə	s'preche	ацəажəара	ɑč ʰəɑʐə ɑrɑ		ლაპარაკობს	lɑpˀɑrɑkˀ ɔbs	la.*बूर्यते (būryate sprach <> pregunta… < percontari	խոսել	xosɛl	gossip säusel	
983	TALK (TO SOMEONE)	къамел дан	qʼəmel dən	camel tun	ацəажəара	ɑč ʰəɑʐə ɑrɑ		საუბრობს	sɑubr ɔbs	sober	զրուցել	zəɾučʰɛl		
984	CHAT (ACTIVITY)	къамел дан	qʼəmel dən		аицәажәара	ɑit͡ɕʷʰoʒʲʷørɑ		ბაასობს	bɑɑs ɔbs	𓃽 bos-faseln	խոսակցել	χɔsɑkčʰɛl		
985	ASK (INQUIRE)	хатта	xətːə	queste	азҵаара	ɑzčʼɑːrɑ		ჰკითხავს	hkˀitʰx ɑvs		հարցնել	hɑɾčʰnɛl	quarz quest?	
986	ASK (REQUEST)	деха	dexə	dice	аҳəара	ɑħə ɑrɑ		სთხოვს	stʰxɔvs	stefan ?-stellen	խնդրել	xəndɾɛl		
987	TELL	дийца	dɪɪ̆čə	dice	аҳəара	ɑħə ɑrɑ		მოუთხრობს	mɔutʰxr ɔbs	mouth <> mot	պատմել	pɑtmɛl	portmanteaux?	
988	CONVEY (A MESSAGE)	хаам бан	xəəm bən	con ben	азыцҳара	ɑzɨčʰħ ɑrɑ		აუწყებს	ɑučˀqˀ ɛbs	out.quebs	հաղորդել	haɣoɾdɛl		
989	CALL BY NAME	цӏе яккха	čʼe jəqːə		ахьӡҵара	ɑχʲd͡zčʼ ɑrɑ		უწოდებს	učˀɔd ɛbs	outsaid <> chat	անվանել	ɑnvɑnɛl	answern antevan	
990	CALL	кхайкха	qəjqə	qalqe	азҿыҭра	ɑzʈʈ͡ʂʼɨtʰrɑ		დაუძახებს	dɑ ud͡zɑx ɛbs	do.out.sag	կանչել	kançʰɛl	клі́кнуць klíknucʹ √cry callnik	
991	BOAST	куралла ян	ku͡ʊrəlːə jən	kurelen	аҽхəара	ɑʈ͡ʂʰχə ɑrɑ		ტრაბახობს	tˀrɑbɑx ɔbs	trabach?	պարծենալ	pɑɾčɛnɑl		
992	TRANSLATE	гоч дан	ɡoç dən	gothen	аиҭагара	áitʰɑɡ ɑrɑ		გადათარგმნის	ɡɑ dɑ tʰɑrɡ m'nis	1. turkmans 2. tragen	թարգմանել	tʰɑɾkʰmɑnɛl	1. turkman 2. trag	
993	THINK (REFLECT)	ойла ян	oɪ̆lə jən		азхəыцра	ɑzχəɨčʰrɑ		ფიქრობს	pʰikʰr ɔbs	pthinker	մտածել	mətɑčɛl	<	
994	BELIEVE	теша	tēʃə	denke	ахаҵара	ɑχɑč ʼ ɑrɑ		სჯერა	sd͡ʒɛrɑ	stare 𓇼?	հավատալ	hɑvɑtɑl	habet?	
995	NOTICE	ган	ɡən	sehn	агəаҭара	ɑɡəɑtʰ ɑrɑ		შენიშვნავს	ʃɛ niʃvn ɑvs	<> ŋkɑ(t)	նկատել	ŋkɑtɛl	kŋɑtɛ note	
996	RECOGNIZE	довза	dɔ͡ʊzə		адырра	ɑdɨrrɑ		გამოიცნობს	ɡɑ mɔičʰn ɔbs	ge match	ճանաչել	çɑnɑçʰɛl	kennen cogniç	
997	UNDERSTAND	кхета	qetə	get-it	аилкаара	ɑilkʼɑːrɑ		გაიგებს	ɡɑ iɡ ɛbs	ge gebs	հասկանալ	hɑskɑnɑl	<> calculate	
998	UNDERSTAND (ACOUSTICALLY)	кхета	qetə		аҳара	ɑħ ɑrɑ		გაიგონებს	ɡɑ iɡɔn ɛbs	ge gonebs	ըմբռնել	əmpʰrnɛl	ampher-stand	
999	LEARN	деша	deʃə	teache	аҵара	ɑč ʼ ɑrɑ	a.deʃ.er	ისწავლის	isčˀɑvlis	is.čʼɑ.vs	սովորել	sɔvɔɾɛl	𓋴 𓃀 𓇼 𓏛	
1000	KNOW (SOMETHING)	хаа	xəə	kaa	адырра	ɑdɨrrɑ		ეცოდინება	ɛčʰɔdin ɛbɑ	eçho.din	իմանալ	imanal	memno	
1001	REMEMBER	дагадан	dəɡə dən	denk.tun	агəаларшəара	ɑɡəɑlɑrʂə ɑrɑ		მოიგონებს	mɔiɡɔn ɛbs	mögen 𓁹 me.moir	հիշել	hiʃɛl		
1002	FORGET	дицдала	dɪč dələ		ахашҭра	ɑχɑʂtʰrɑ		ივიწყებს	ivičˀqˀ ɛbs	i¬wits	մոռանալ	mɔrɑnɑl	moron;)	
1003	MEASURE	дуста	du͡ʊstə		ашəара	ɑʂə ɑrɑ		ზომავს	zɔm ɑvs	𓋴𓈖𓍿𓍰  zome <> sym 𓍰𓏏  𓌓𓏏𓏤	չափել	çʰɑpʰɛl	cap?	
1004	COUNT	дагардан	dəɡər dən		аҧхьаӡара	ɑpʰ χʲed͡z ɑrɑ		ითვლის	itʰvlis	add-vieles ;)	թվել	tʰəvɛl	tell	
1005	CALCULATE	лара	lərə	lehre	аҳасабра	ɑħɑsɑb rɑ		გაიანგარიშებს	ɡɑ iɑnɡɑ riʃ ɛbs	riʃ <> rechnen rise <> Adam Riese	հաշվել	hɑʃvɛl	hash	
1006	READ	еша	eʃə	al.eʃə = lese	аҧхьара	ɑpʰ χʲerɑ		კითხულობს	kˀitʰxul ɔbs	√kitab <> √cut?	կարդալ	kaɾdal	kuread@SEM	
1007	PAINTING	сурт дилла	su͡ʊrt dɪlːə	acryl?				ხატავს	xɑtˀ ɑvs	√cut?	նկարել	ŋkɑɾɛl		
1008	DRAW (WITH PEN)	сурт дилла	su͡ʊrt dɪlːə					ხაზავს	xɑz ɑvs	√cut?	գծել	ɡəčɛl		
1009	WRITE	яздан	jəz dən					დაწერს	dɑ čˀɛrs	dice touch do.scri.ban	գրել	ɡəɾɛl	gra.phel	
1010	OWN	доладан	dolə dən		амазаара	ɑmɑzɑːrɑ		ექნება	ɛkʰn ɛbɑ	eigen- eigne-	ունենալ	unɛnɑl		
1011	BUY	эца	ečə		Аахəара	ɑːχə ɑrɑ		ყიდულობს	qˀidul ɔbs	geld…	գնել	ɡənɛl		
1012	SELL	дохка	doxkə		аҭира	ɑtʰirɑ		გაყიდის	ɡɑ qˀidis	ge.quit.is	վաճառել	vɑçɑrɛl	ver.kaur.fen	
1013	PAY FOR	мах бала	məx bələ	march …	ахҭынҵара	ɑχtʰɨnčʼ ɑrɑ		გადაიხდის	ɡɑ dɑ ix dis	ge.tax(t).is	վճարել	vəçɑɾɛl		
1014	PAY	мах бала	məx bələ	make payl	ашəара	ɑʂə ɑrɑ		გადაიხდის	ɡɑ dɑ ix dis	ge.tax	վճարել	vəçɑɾɛl		
1015	RULE	собаре хила	sobəre xɪlə					ფლობს	pʰl ɔbs	plebs!	ղեկավարել	ʁɛkɑvɑɾɛl	rek	
1016	ENDURE	лан	lən	long	ачҳара	ɑçħ ɑrɑ		მოითმენს	mɔitʰmɛns	maintain, remain	դիմանալ	dimɑnɑl	de.main <> dura?	
